,StationFront,Year,Tmean,Smean,Lmean,Tmin,Smin,Lmin,Tmax,Smax,Lmax,Tsd,Ssd,Lsd,Counts,SpecCode,Cover,Latitude,Longitude
2420,CRMS0146,2009,22.10165866,6.037293758,-0.149746835,1.78,2.8,-2.16,33.34,10.98,1.89,4.610114525,1.389204576,0.708305763,2291,Aaustralis,0.017,29.73008,-89.72923
2434,CRMS0146,2010,23.4304133,1.943003925,-0.155352113,3.22,0.28,-1.8,36.69,4.52,1.98,7.394306207,1.128897336,0.66482218,4331,Aaustralis,0.001,29.73008,-89.72923
2445,CRMS0146,2011,22.71931467,3.906418919,-0.373915701,2.55,1.7,-1.98,34.25,12.96,1.64,6.24795343,1.908132785,0.536980569,3108,Aaustralis,0.001,29.73008,-89.72923
2473,CRMS0146,2014,23.92206176,2.222253829,-0.287582786,5.27,0.89,-1.516,35.94,4.48,1.174,6.205685014,0.656677243,0.477005697,4113,Aaustralis,0.005,29.73008,-89.72923
2483,CRMS0146,2015,24.60142133,5.399507026,-0.247403594,2.07,3.23,-1.829,35.49,8.54,1.574,6.629692136,1.124607494,0.532987986,4341,Aaustralis,0.007,29.73008,-89.72923
2504,CRMS0146,2017,24.69690838,2.362870626,0.024003223,9.81,0.91,-1.489,34.96,4.17,3.444,4.508301519,0.754622306,0.615993308,4344,Aaustralis,0.002,29.73008,-89.72923
2557,CRMS0148,2009,25.41001478,11.17241872,-1.230389163,8.19,0.21,-2.61,35.68,21.07,0.23,7.031105349,4.762474674,0.565761303,2030,Aaustralis,0.025,29.51235,-89.69798
2606,CRMS0148,2013,19.51396723,0.279030695,-0.718241403,6.2,0.15,-2.49,35.11,4.3,1.99,6.87559523,0.291300349,0.729336428,4333,Aaustralis,0.1,29.51235,-89.69798
2620,CRMS0148,2014,19.1372721,0.26073895,-1.030862799,4.8,0.15,-2.572,32.91,3.93,1.118,7.624626738,0.272626731,0.629099913,4344,Aaustralis,0.03,29.51235,-89.69798
2643,CRMS0148,2015,20.05298573,0.488291897,-0.884447744,7.27,0.11,-2.474,29.95,3.5,2.141,6.72026068,0.374569129,0.59432825,4344,Aaustralis,0.1,29.51235,-89.69798
2652,CRMS0148,2016,20.48002747,0.204913004,-0.370469322,6.46,0.14,-1.965,33.22,0.34,2.276,7.321597376,0.030328961,0.6832213,4368,Aaustralis,0.005,29.51235,-89.69798
2687,CRMS0148,2017,20.84899632,0.20748849,-0.181476059,7.92,0.01,-1.653,33.07,0.51,5.545,6.264493705,0.03108262,0.694241178,4344,Aaustralis,0.003,29.51235,-89.69798
2742,CRMS0154,2011,18.80633978,0.346130295,0.425547882,4.56,0.14,-1.34,31.31,2.08,2.75,7.768581551,0.377862625,0.614493327,4344,Aaustralis,0.004,29.11315,-89.19796
2753,CRMS0154,2012,21.39350379,1.349293831,0.439707792,8.19,0.15,-1.06,32.58,6.68,1.95,7.859258294,1.558329113,0.491144884,3696,Aaustralis,0.002,29.11315,-89.19796
3003,CRMS0174,2014,23.29067695,12.71125259,-0.133169698,5.78,3.57,-1.824,35.29,25.45,1.606,6.513608085,5.230550347,0.557986021,4343,Aaustralis,0.005,29.3963,-89.76302
3005,CRMS0174,2015,24.78928291,11.28951654,-0.058412908,6,2.43,-1.733,36.22,29.51,1.394,6.380678732,7.470757657,0.529000087,4323,Aaustralis,0.015,29.3963,-89.76302
3008,CRMS0174,2016,24.62078238,9.089215026,0.165503886,7.55,4.81,-1.503,35.76,28.14,2.005,6.104582611,2.813753911,0.565413609,3860,Aaustralis,0.052,29.3963,-89.76302
3132,CRMS0188,2007,19.6531851,1.874908282,-0.017248471,16.74,1.35,-0.7,23.38,2.12,1.01,1.859329824,0.188946952,0.367769676,3598,Aaustralis,0.007,29.79541,-90.13549
3220,CRMS0188,2011,19.99793093,1.870027752,0.405066297,16.28,1.1,-0.62,22.77,2,1.47,1.916227274,0.096349625,0.257268826,3243,Aaustralis,0.007,29.79541,-90.13549
3647,CRMS0190,2009,21.35151643,3.898963774,-0.236543106,14.19,2.26,-0.74,26.64,5.04,0.59,3.985347792,0.500273935,0.222388178,3561,Aaustralis,0.065,29.52686,-90.26049
3686,CRMS0190,2011,19.72481123,3.135577808,-0.142497698,12.5,1.93,-0.53,27.34,5.9,0.86,3.854587186,0.743618696,0.203892356,4344,Aaustralis,0.001,29.52686,-90.26049
3745,CRMS0190,2013,19.94217541,2.392546041,0.105432781,15.41,1.29,-0.41,27.4,2.76,1.08,3.176827499,0.265444874,0.284302729,4344,Aaustralis,0.006,29.52686,-90.26049
3800,CRMS0190,2015,19.71199586,1.813641805,0.045296271,13.46,1.41,-0.34,24.78,2.64,0.865,3.561844626,0.261207978,0.250643493,4344,Aaustralis,0.005,29.52686,-90.26049
3908,CRMS0192,2008,19.45864672,0.079102564,0.161949193,10.48,0.05,-0.01,26.5,0.11,0.54,4.714525574,0.01075413,0.130127987,4212,Aaustralis,0.002,29.85348,-90.54175
4128,CRMS0209,2014,22.52497708,8.900296576,-0.578317067,4.32,1.95,-2.232,35.27,18.14,1.118,6.304314038,3.911287199,0.554950334,3709,Aaustralis,0.025,29.49057,-89.79173
4133,CRMS0209,2015,24.7739825,9.450989871,-0.458668738,5.3,1.81,-2.621,36.2,19.08,0.941,6.427091282,4.566355002,0.555391941,4344,Aaustralis,0.017,29.49057,-89.79173
4523,CRMS0220,2007,23.10059733,3.433661333,-0.248842667,2.71,0.56,-1.53,36.8,11.1,1.1,6.333652099,1.784689848,0.51258324,3750,Aaustralis,0.005,29.56315,-90.07299
4547,CRMS0220,2009,24.56175875,2.901551565,-0.131178637,8.31,0.4,-1.1,37.94,8.78,1.7,5.891889834,1.865171614,0.444721379,4344,Aaustralis,0.042,29.56315,-90.07299
4560,CRMS0220,2011,24.79182991,5.05050242,-0.188534224,0.03,1.03,-1.31,36.83,13.5,1.36,6.588945901,2.669733044,0.440858816,4339,Aaustralis,0.038,29.56315,-90.07299
4579,CRMS0220,2012,25.23076817,3.549096537,-0.015828938,0.43,0.48,-1.39,36.79,12.34,1.4,5.397580398,2.80399386,0.433155964,4361,Aaustralis,0.001,29.56315,-90.07299
4582,CRMS0220,2013,23.53778286,2.354800193,-0.0358883,6.39,0.34,-1.04,38.05,10.29,1.25,6.349016834,1.862325668,0.454842466,4154,Aaustralis,0.015,29.56315,-90.07299
4591,CRMS0220,2014,22.63894235,2.857900596,-0.078212724,8.46,0.73,-1.239,34.9,7.06,1.301,5.34114246,1.413629406,0.502085563,2515,Aaustralis,0.006,29.56315,-90.07299
4683,CRMS0225,2008,24.58337731,1.151865741,0.345168981,8.39,0.32,-1.25,34.65,5.44,2.14,5.753786142,0.797762059,0.522157234,4320,Aaustralis,0.015,29.56315,-90.01048
4705,CRMS0225,2011,25.05625059,5.87977651,0.245385164,2.55,1.65,-1.16,35.05,12.48,1.98,5.850498426,2.552452598,0.462320396,4206,Aaustralis,0.003,29.56315,-90.01048
4723,CRMS0225,2013,23.90491509,2.827574743,0.410193734,10.43,0.43,-0.65,35.22,9.07,1.65,5.830108186,1.928988096,0.422108952,4181,Aaustralis,0.042,29.56315,-90.01048
4727,CRMS0225,2014,21.50678413,3.430834921,-0.208787302,5.14,0.92,-1.17,33.51,9.2,1.26,5.59955696,1.562264227,0.489291024,3150,Aaustralis,0.014,29.56315,-90.01048
4736,CRMS0225,2015,24.84113076,2.933206142,-0.132406003,7.07,0.63,-1.358,36.41,10.73,1.092,6.451126208,2.036501756,0.450106611,4298,Aaustralis,0.095,29.56315,-90.01048
4908,CRMS0248,2011,25.03661702,3.949451537,-0.045449173,2.57,0.98,-1.34,32.95,11.48,1.57,4.897349438,1.555637072,0.427456167,4230,Aaustralis,0.005,29.59944,-90.07299
4923,CRMS0248,2013,23.02789924,3.060704876,0.057469378,10.67,0.89,-1.43,31.64,8.58,1.31,4.872135554,1.726254845,0.476367436,4327,Aaustralis,0.002,29.59944,-90.07299
4931,CRMS0248,2014,23.50559061,3.271602579,-0.392809348,10.56,1.22,-1.487,31.78,5.66,1.043,4.974810401,0.872731652,0.458390263,4343,Aaustralis,0.028,29.59944,-90.07299
4945,CRMS0248,2016,24.1790629,2.567874709,-0.008506083,12.27,0.72,-1.182,33.01,6.39,1.388,5.001873818,1.098230045,0.502015732,3863,Aaustralis,0.002,29.59944,-90.07299
5025,CRMS0253,2010,24.428565,2.5295125,-0.07828,4.37,0.39,-1.12,36,13.4,1.72,7.411449345,2.236134771,0.522823132,4000,Aaustralis,0.074,29.55589,-90.07299
